kuczynski | Thoughts have content; their content determines what they are about | Intentionality
kuczynski | The aboutness of thoughts is not severable from their accuracy-conditions | Intentionality and Truth
kuczynski | Knowing of many phi's that are psi's gives reason to expect future phi's to be psi's only if it suggests an underlying mechanism | Inductive Basis
kuczynski | If you know there's no mechanism favoring an outcome, no run of that outcome gives you reason to expect it again | Against Pure Enumeration
kuczynski | The gambler's fallacy consists in thinking that past outcomes favor future outcomes in the absence of any mechanism | Gambler's Fallacy Analyzed
kuczynski | It is only insofar as you have reason to believe in a mechanism that you have reason to expect a pattern to continue | Mechanism and Expectation
kuczynski | Every case of supposedly pure enumerative induction, if rational, embodies inference to best explanation | Induction as IBE
kuczynski | Hume's argument about induction assumes the legitimacy of the gambler's fallacy | Critique of Hume
kuczynski | MC (minimize causal anomalies) is the right principle for validating induction, not UP (uniformity of nature) | Principle of Explanation
kuczynski | MC is analytically true: it's inherent in the concept of explanation that better theories eliminate more anomalies | Analyticity of MC
kuczynski | Because MC is analytic, it doesn't need inductive validation, avoiding Hume's vicious circle | Avoiding Hume's Circle
kuczynski | The best explanation replaces observed discontinuities with continuities, not with unobserved discontinuities | Best Explanation and Continuity
kuczynski | Hypotheses that create more discontinuities than they eliminate are inferior | Quality of Hypotheses
kuczynski | Theoretical discontinuities (positing unprecedented law-violations) count against a hypothesis | Theoretical Discontinuities
kuczynski | A hypothesis that requires us to suppose our observations are hallucinations creates more anomalies than it solves | Critique of "Plead Hallucination"
kuczynski | Probability statements are useful to the ignorant because they describe relations between what they know and what they'd like to know | Utility of Probability
kuczynski | Given data may make P more worthy of belief than not-P without making P worthy of belief | Probability vs Certainty
kuczynski | The degree to which data D confirms statement S has nothing to do with anyone's opinion | Mind-Independence of Probability
kuczynski | A true probability statement correctly describes the bearing relation between evidence and hypothesis | Truth of Probability Statements
kuczynski | Mind and body interact; such interactions seem not to involve violations of physical law | Evidence for Materialism
kuczynski | What is there to being physical other than being able to displace mass-energy? | Criterion of Physicality
kuczynski | Our experiences don't seem to be anything like brain-states or physical entities | Evidence for Dualism
kuczynski | If experiences are brain-states, we experience them as very different from how they really are | Puzzle of Qualia
kuczynski | It's incoherent to suppose we experience our experiences; we don't have experiences of experiences | Critique of Inner Perception
kuczynski | Dual aspect theory presupposes something spatiotemporal that is neither mental nor physical, which is incoherent | Critique of Dual Aspect
kuczynski | Eliminativism says mental states don't exist; this is obviously false and a "hideous monstrosity" | Critique of Eliminativism
kuczynski | Science can deal with the subjective (things with first-person ontology) even though science mustn't be subjective (biased) | Subjectivity and Science
kuczynski | Behaviorism identifies mental states with behavioral dispositions; this ignores the role of existing mental states | Critique of Behaviorism
